epoch,train_loss,train_acc,test_loss,test_acc
1,0.47234998997688293,0.83612,0.36676683311462405,0.8754
2,0.2821601660442352,0.90282,0.33497307801246645,0.8887
3,0.20340486298799515,0.93054,0.31918940591812134,0.892
4,0.17178207579135896,0.94218,0.2520834971189499,0.9159
5,0.13604233377933503,0.9533,0.3117977061033249,0.907
6,0.11679230682134628,0.96014,0.28781866965293884,0.9138
7,0.0990776200735569,0.9664,0.28944685416221616,0.9136
8,0.0876804858994484,0.96896,0.2874120024442673,0.9134
9,0.07364873179912568,0.97404,0.32436344622969626,0.9081
10,0.06557502913951874,0.97764,0.31090339803695677,0.9145
11,0.061548723087906834,0.97908,0.2907435426414013,0.9215
12,0.05754022991776466,0.98032,0.31195908349752427,0.9173
13,0.05779902447462082,0.97994,0.3026168890476227,0.9199
14,0.048150051198601725,0.98352,0.3016453412771225,0.9201
15,0.03578617179006338,0.9872,0.27777818241119384,0.9298
16,0.048821970759928224,0.98348,0.2848313584327698,0.9279
17,0.03676997591435909,0.9871,0.2916211618423462,0.9264
18,0.043963043072223665,0.98454,0.3199975169658661,0.9217
19,0.03529112428665161,0.98814,0.2960446392059326,0.9266
20,0.03108609570324421,0.98924,0.34114886360168456,0.921
21,0.037200387707203623,0.98772,0.3170051495552063,0.9243
22,0.029366431567892433,0.99004,0.3068325791358948,0.9267
23,0.031246044345498086,0.9893,0.32673771901130677,0.9226
24,0.02749424106776714,0.99086,0.29465410447120666,0.9311
25,0.026167102618813515,0.9911,0.3084743112623692,0.9276
26,0.02695267091035843,0.99082,0.36078839901685716,0.9215
27,0.024503906883448362,0.9913,0.3360933645248413,0.9269
28,0.02808317856349051,0.9908,0.36533910818099974,0.9223
29,0.02082192900829017,0.99268,0.3106824049949646,0.9314
30,0.022552350079119206,0.99244,0.3113920291900635,0.9288
