epoch,train_loss,train_acc,test_loss,test_acc
1,2.0531473614120483,0.26412,1.5270300998687745,0.4246
2,1.4501602535247802,0.46684,1.529437873840332,0.4679
3,1.147758033466339,0.58868,1.084357932472229,0.6136
4,0.9104882068061828,0.67808,0.8457814884185791,0.7002
5,0.75246724401474,0.7371,0.8508741270065308,0.708
6,0.6464518294715881,0.77686,0.7176180436134338,0.7655
7,0.5828592667770386,0.79866,0.7445883213996887,0.7564
8,0.5505222190666199,0.80974,0.61402831325531,0.7913
9,0.5106587046146392,0.8242,0.635593367767334,0.7907
10,0.5018135335922241,0.82688,0.6700437826633453,0.7657
11,0.4789351326370239,0.8359,0.5610091941356659,0.8069
12,0.46368988672256467,0.8397,0.6796800873756409,0.7823
13,0.4473001913356781,0.84688,0.5839327343940734,0.8044
14,0.4359734723854065,0.8521,0.5125065946102142,0.83
15,0.41541808292388915,0.85698,0.578413646697998,0.8111
16,0.4127174779891968,0.85778,0.45070411958694456,0.8419
17,0.39621605869293214,0.8641,0.5310763575553894,0.8276
18,0.39540281571388247,0.86452,0.565572920703888,0.815
19,0.3858024422931671,0.86678,0.45359540643692015,0.8436
20,0.37266142619132997,0.8727,0.5350555046081543,0.8257
21,0.36695926800727846,0.87506,0.45461930351257324,0.8478
22,0.3606179907131195,0.8765,0.4823010422229767,0.8419
23,0.3607095335674286,0.8782,0.4984958607673645,0.8397
24,0.3466450114917755,0.88158,0.4287035054206848,0.8574
25,0.34369376832008364,0.88292,0.5481970594406128,0.8176
26,0.33494193870067596,0.8857,0.49956488494873047,0.8267
27,0.32998276458740233,0.88728,0.46485488805770875,0.8472
28,0.32931513780593874,0.88864,0.4238654612779617,0.8587
29,0.32041341431617737,0.88982,0.4452512394428253,0.8511
30,0.3182394750881195,0.8921,0.505767487001419,0.8408
31,0.3131063811063767,0.89226,0.45953222069740296,0.8477
32,0.3008392824459076,0.8986,0.4565449038028717,0.8548
33,0.30138347436904905,0.89754,0.5255502693176269,0.833
34,0.294855160369873,0.89948,0.5042113676071167,0.834
35,0.2922080481624603,0.90042,0.35172023783922196,0.8856
36,0.2854141541004181,0.90152,0.4111856234550476,0.866
37,0.2787484491920471,0.9046,0.42395954799652097,0.8601
38,0.2745708390522003,0.90588,0.3998313055038452,0.8727
39,0.26842353625774384,0.90848,0.39374776935577394,0.8706
40,0.26530308326244356,0.91032,0.3695533909440041,0.8785
41,0.26110801995277405,0.90864,0.46387818348407744,0.8587
42,0.2544473522090912,0.91254,0.3611600926399231,0.8783
43,0.24718139778137208,0.91514,0.5704386463880539,0.8229
44,0.2503110003948212,0.91524,0.42945983572006224,0.8608
45,0.24414043760299683,0.91704,0.3267708833694458,0.8941
46,0.23841767983436585,0.9184,0.41765225353240965,0.8646
47,0.2262330945110321,0.92234,0.38171362352371213,0.8787
48,0.2188470793056488,0.92482,0.37568398146629334,0.8762
49,0.22233785323143004,0.92242,0.363716695022583,0.8837
50,0.21297672646522522,0.92564,0.36583439073562624,0.8805
51,0.20690024349689484,0.92868,0.333437015247345,0.8914
52,0.1943522687292099,0.93388,0.4189632218360901,0.8681
53,0.1986386829662323,0.9324,0.33257943615913393,0.8951
54,0.18729535614490508,0.93578,0.37457062487602233,0.8795
55,0.17973431461811065,0.93872,0.3205084722518921,0.8951
56,0.1800941963672638,0.9388,0.3716619529724121,0.8804
57,0.1669598814868927,0.94336,0.30914593143463137,0.8987
58,0.16024197236537932,0.945,0.37088103432655334,0.8831
59,0.15655616899967192,0.94674,0.34648731632232666,0.8888
60,0.15542588704109192,0.94698,0.4602048348426819,0.8591
61,0.14449982791781427,0.94976,0.3092115080833435,0.9008
62,0.13936224969863892,0.9518,0.3783879989624023,0.8816
63,0.1340262510061264,0.9543,0.2964804630279541,0.9093
64,0.1268359321451187,0.95626,0.3249879758119583,0.9016
65,0.11903493461608887,0.9597,0.3121568254470825,0.9056
66,0.10828456370830536,0.96336,0.33047490487098696,0.904
67,0.1064042653799057,0.96486,0.31720515875816346,0.9039
68,0.09853450763940812,0.9667,0.28976507930755613,0.9126
69,0.0913717902135849,0.96868,0.2895441791057587,0.9175
70,0.08111846022963524,0.97248,0.28366525669097903,0.9145
71,0.07804075954675674,0.97302,0.30933526287078855,0.9141
72,0.07378406979739666,0.97518,0.2793638973236084,0.9178
73,0.06334758222103119,0.97908,0.27674504187107085,0.9186
74,0.05724346026778221,0.98116,0.25594779272079465,0.9246
75,0.05228122701764107,0.9826,0.28214152402877807,0.9192
76,0.04888944890856743,0.98308,0.2745562579810619,0.9232
77,0.04025319221973419,0.98656,0.26406541209220885,0.9285
78,0.03153561443030834,0.98966,0.24030695593357085,0.9333
79,0.030495793159008026,0.99022,0.23022154148817062,0.9369
80,0.02629631967484951,0.9916,0.24465271134376526,0.9344
81,0.019959094583392144,0.99416,0.2371129802465439,0.9365
82,0.014635961403548718,0.9963,0.21356428928375243,0.9426
83,0.011200002999454737,0.997,0.23225452151298523,0.941
84,0.008351334666833281,0.99832,0.21627472224235533,0.9451
85,0.006794122515618801,0.99826,0.2164299774169922,0.9457
86,0.006291712383255363,0.99852,0.20866780228614806,0.9472
87,0.004986925222873688,0.99906,0.2034672788619995,0.9479
88,0.004665971713960171,0.99916,0.19738376030921936,0.9488
89,0.003846159001737833,0.9994,0.19670726170539857,0.9496
90,0.003543711109906435,0.99954,0.19569233670234681,0.9514
91,0.0029384231838583946,0.99968,0.19333037872314454,0.9495
92,0.0025716576272249224,0.9998,0.19060060334205628,0.9505
93,0.0025342750728875396,0.99978,0.19107736868858338,0.9501
94,0.002833316785246134,0.9997,0.19381757998466492,0.9494
95,0.002776754707545042,0.99968,0.19129982886314392,0.95
96,0.002629911049194634,0.99972,0.1918908947467804,0.9497
97,0.002471385462321341,0.99984,0.19004247789382936,0.9502
98,0.002316529607847333,0.9999,0.19090992188453673,0.9503
99,0.0023852753947488964,0.99978,0.19106337022781372,0.9504
100,0.0025370440178364515,0.99978,0.18998832874298097,0.95
