epoch,train_loss,train_acc,test_loss,test_acc
1,0.7234567890123456,0.76345,0.3456789012345678,0.8923
2,0.3145678901234567,0.91234,0.2156789012345678,0.9312
3,0.2034567890123456,0.94567,0.1678901234567890,0.9512
4,0.1567890123456789,0.96234,0.1345678901234567,0.9634
5,0.1234567890123456,0.97345,0.1156789012345678,0.9723
6,0.0987654321098765,0.97923,0.1012345678901234,0.9789
7,0.0876543210987654,0.98234,0.0956789012345678,0.9812
8,0.0756789012345678,0.98567,0.0901234567890123,0.9834
9,0.0634567890123456,0.98901,0.0876543210987654,0.9856
10,0.0556789012345678,0.99123,0.0834567890123456,0.9878
11,0.0501234567890123,0.99312,0.0789012345678901,0.9889
12,0.0467890123456789,0.99456,0.0856789012345678,0.9867
13,0.0412345678901234,0.99578,0.0798765432109876,0.9901
14,0.0389012345678901,0.99645,0.0834567890123456,0.9878
15,0.0367890123456789,0.99712,0.0756789012345678,0.9912
16,0.0345678901234567,0.99756,0.0723456789012345,0.9923
17,0.0312345678901234,0.99834,0.0801234567890123,0.9901
18,0.0298765432109876,0.99878,0.0878901234567890,0.9856
19,0.0276543210987654,0.99912,0.0723456789012345,0.9923
20,0.0245678901234567,0.99945,0.0834567890123456,0.9878
21,0.0267890123456789,0.99867,0.0756789012345678,0.9901
22,0.0234567890123456,0.99934,0.0801234567890123,0.9889
23,0.0212345678901234,0.99956,0.0756789012345678,0.9912
24,0.0189012345678901,0.99967,0.0876543210987654,0.9867
25,0.0176789012345678,0.99978,0.0723456789012345,0.9923
26,0.0156234567890123,0.99989,0.0798765432109876,0.9901
27,0.0145678901234567,0.99995,0.0878901234567890,0.9856
28,0.0134567890123456,0.99998,0.0756789012345678,0.9912
29,0.0123456789012345,0.99999,0.0834567890123456,0.9878
30,0.0112345678901234,0.99999,0.0701234567890123,0.9934
