label,prediction,count
cat,dog,95
deer,horse,75
dog,cat,42
bird,deer,31
bird,dog,27
frog,deer,26
automobile,truck,24
frog,dog,23
ship,automobile,23
airplane,ship,22
airplane,bird,19
frog,cat,19
bird,horse,17
ship,airplane,16
truck,automobile,15
cat,bird,14
cat,deer,14
dog,horse,14
bird,cat,13
frog,bird,12
deer,bird,9
bird,airplane,8
deer,dog,8
cat,frog,7
dog,deer,7
ship,truck,7
airplane,truck,6
bird,frog,6
cat,horse,6
deer,frog,5
cat,automobile,4
cat,ship,4
airplane,automobile,3
airplane,horse,3
dog,bird,3
horse,bird,3
horse,dog,3
truck,ship,3
cat,truck,2
deer,cat,2
deer,truck,2
dog,ship,2
frog,horse,2
frog,ship,2
horse,airplane,2
airplane,frog,1
bird,automobile,1
bird,truck,1
deer,airplane,1
dog,frog,1
frog,automobile,1
frog,truck,1
horse,deer,1
horse,ship,1
horse,truck,1
ship,bird,1
ship,dog,1
